marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
CD57,797440,0.15550445020198822,0.09818750619888306,0.1416008472442627,0.018750911299139264,0.08353973925113678,0.21149514243006706,0.33706488907337157,0.44029848128557203,0.0,0.999878466129303
Pan-Cytokeratin,797440,0.014189581386744976,0.04746491461992264,0.0,0.0,0.0,0.005443500471301377,0.07875649891793726,0.2120620760321612,0.0,1.0
CD68,797440,0.045565128326416016,0.06807166337966919,0.019833918660879135,6.632744116359394e-05,0.004989866749383509,0.059306167997419834,0.17749657258391363,0.3329562142491338,0.0,0.991673469543457
CD3,797440,0.10825888812541962,0.08847151696681976,0.08494427800178528,0.011284807976335288,0.041318816132843494,0.15634554252028465,0.27181546241044996,0.3935849350690841,0.0,1.0
SMA,797440,0.024067621678113937,0.05817270651459694,0.002223922638222575,0.0,0.00011503078712848946,0.016800630372017622,0.1359203927218914,0.2820306241512297,0.0,1.0
CD34,797440,0.029878780245780945,0.0671212449669838,0.0058846306055784225,0.0,0.0007638121751369908,0.020961071830242872,0.16599922552704802,0.3382784724235534,0.0,0.9865818619728088
EpCAM,797440,0.1470147669315338,0.09979477524757385,0.12704932689666748,0.018663233332335948,0.07144597731530666,0.2043703943490982,0.3366869390010832,0.4391054093837737,0.0,0.9582167863845825
Collagen IV,797440,0.02374054491519928,0.05830257013440132,0.003315452951937914,0.0,0.0,0.021466047503054142,0.10920290276408184,0.26838435053825327,0.0,1.0
CD45RO,797440,0.10070282220840454,0.10258722305297852,0.0688457190990448,0.0008172284724423667,0.024687324184924364,0.14408517628908157,0.31273536384105666,0.44556855738162987,0.0,1.0
Podoplanin,797440,0.10120987892150879,0.07841424643993378,0.08794887363910675,0.008267090190202,0.04347052238881588,0.13878104835748672,0.24148122370243072,0.3660303676128382,0.0,0.9830655455589294
CD15,797440,0.013244143687188625,0.04396336153149605,0.0,0.0,0.0,0.00415881909430027,0.07792502827942369,0.19872068971395485,0.0,1.0
CD7,797440,0.07481534034013748,0.08832577615976334,0.04389748349785805,0.0003836453106487172,0.01329262088984251,0.10327862575650215,0.25796321630477903,0.395034429132938,0.0,1.0
CD163,797440,0.06947050988674164,0.07590270787477493,0.0461975559592247,0.0032589230220764877,0.01951914420351386,0.09029506891965866,0.22520871534943565,0.3527847677469252,0.0,0.9996271133422852
Chromogranin A,797440,0.029245249927043915,0.06639573723077774,0.003924163989722729,0.0,7.321936027437914e-05,0.026239713188260794,0.1437219686806202,0.3074658337235449,0.0,1.0
CD31,797440,0.012280101887881756,0.03620431572198868,0.0010195557260885835,0.0,0.0,0.007180465268902481,0.06376169547438615,0.17959484860301006,0.0,0.9440653324127197
CD123,797440,0.1604384332895279,0.12576265633106232,0.1327325701713562,0.011850147042423488,0.049507902935147285,0.2530306801199913,0.3904503867030142,0.48085819125175466,0.0,0.9586336612701416
MMP9,797440,0.024631565436720848,0.0628652423620224,0.0023444946855306625,0.0,0.0,0.019838035572320223,0.12095418833196138,0.2906852826476096,0.0,1.0
CD138,797440,0.022963209077715874,0.05818804353475571,0.0018446625908836722,0.0,0.0,0.017531960271298885,0.11736740954220283,0.30659182429313614,0.0,1.0
CD38,797440,0.157783642411232,0.10961345583200455,0.14107459783554077,0.015265038423240188,0.06669121980667114,0.23186001926660538,0.3522823005914688,0.44421336948871604,0.0,1.0
Hyaluronan,797440,0.190900057554245,0.13332854211330414,0.17239999771118164,0.007520207762718201,0.08546633645892143,0.27648624032735825,0.43327620923519133,0.5726638871431348,0.0,0.9953535199165344
