marker,n_tokens,mean,std,median,p5,p25,p75,p95,p99,min,max
CD4,816640,0.0650911033153534,0.06967552751302719,0.04229407757520676,0.0022286685300059615,0.018017103895545006,0.08802232146263123,0.2052843041718006,0.3257902389764786,0.0,0.9710936546325684
CD21,816640,0.1195351630449295,0.0544540137052536,0.11844515800476074,0.03671006299555302,0.09211929887533188,0.14153510332107544,0.19728720262646668,0.3095034304261207,0.0,1.0
MUC-1,816640,0.01888154447078705,0.04482433944940567,0.0025334618985652924,0.0,0.00010333997852285393,0.01593975443392992,0.09507459290325641,0.21880267217755317,0.0,0.9948105812072754
CD30,816640,0.059834130108356476,0.05607899650931358,0.04557686671614647,0.001672838645754382,0.01969614066183567,0.08346334658563137,0.16647529974579803,0.2512361451983449,0.0,0.997820258140564
CD2,816640,0.13686203956604004,0.06223013252019882,0.12820062041282654,0.053517769649624826,0.09825599007308483,0.1650623232126236,0.24740744382143018,0.3396479234099388,0.0,1.0
Vimentin,816640,0.0458395853638649,0.059483591467142105,0.02390698343515396,0.00047713209787616514,0.006478757248260081,0.06223942432552576,0.16487751454114896,0.2743885612487791,0.0,0.9892662763595581
CD20,816640,0.005385510623455048,0.021490074694156647,0.0,0.0,0.0,0.0004501671137404628,0.03164756298065163,0.11617551401257513,0.0,0.6102291941642761
LAG-3,816640,0.1285422444343567,0.06792060285806656,0.11519944667816162,0.04721947275102139,0.0830094013363123,0.16046060621738434,0.25351368188858003,0.34853337287902825,0.0,1.0
Na-K-ATPase,816640,0.020426331087946892,0.04170586168766022,0.0033618558663874865,0.0,7.759127765893936e-05,0.019600318279117346,0.10394509881734838,0.20027715787291522,0.0,0.8953154683113098
CD5,816640,0.11495058238506317,0.10495356470346451,0.08448413014411926,0.0031188140623271484,0.036168807186186314,0.1646031215786934,0.3272213503718376,0.45563466727733604,0.0,0.9926701188087463
IDO-1,816640,0.19118483364582062,0.0962265208363533,0.1847197413444519,0.04628100562840701,0.12361831031739712,0.24933047592639923,0.3546228483319282,0.45685715079307554,0.0,1.0
Cytokeratin,816640,0.0093295993283391,0.0308744627982378,4.183992132311687e-06,0.0,0.0,0.0022890662075951695,0.057758629880845506,0.15742804095149038,0.0,0.8935821056365967
CD11b,816640,0.09891504794359207,0.09741833060979843,0.06929309666156769,0.0028579267906025077,0.026117563247680664,0.1427251659333706,0.29104485064744945,0.4297491332888599,0.0,0.9967197775840759
CD56,816640,0.1493920385837555,0.10480453819036484,0.1282544732093811,0.020991067495197063,0.07058368809521198,0.2061738520860672,0.3440850645303723,0.48399998903274527,0.0,1.0
aSMA,816640,0.03191373124718666,0.06307312846183777,0.004530169069766998,0.0,0.0005104891170049086,0.03038290934637189,0.16730461567640253,0.29968031615018803,0.0,0.9470492005348206
BCL-2,816640,0.04270824044942856,0.059556473046541214,0.021335693076252937,4.751971009682166e-05,0.006328403134830296,0.05361045245081186,0.16177226305007922,0.28552796691656107,0.0,0.9924039840698242
CD25,816640,0.14294037222862244,0.08621516823768616,0.12661594152450562,0.037642571888864045,0.08381767198443413,0.1842459961771965,0.29798049926757797,0.42391311705112455,0.0,1.0
Collagen IV,816640,0.01753661409020424,0.03773842379450798,0.002890171715989709,0.0,5.3457500143849757e-05,0.016967819537967443,0.08613436259329316,0.18466285258531567,0.0,0.9956175088882446
